customer_id,company_name,plan_tier,segment,region,channel,acquisition_date,month,mrr,expansion_mrr,is_active
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,02/01/2022,3630.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,03/01/2022,3630.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,04/01/2022,3630.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,05/01/2022,3820.0,190.0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,06/01/2022,3820.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,07/01/2022,3820.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,08/01/2022,3820.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,09/01/2022,3820.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,10/01/2022,3820.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,11/01/2022,4020.0,200.0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,12/01/2022,4020.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,01/01/2023,4020.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,02/01/2023,4020.0,0.0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,03/01/2023,4020.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,04/01/2023,4020.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,05/01/2023,4020.0,0,1
CUST-0001,Apex Ventures,Growth,Mid-Market,EMEA,Direct Sales,02/24/2022,06/01/2023,4020.0,0,1
